,feature,importance
553,COUNTY_LAUREL,0.0
554,COUNTY_LAWRENCE,0.0
555,COUNTY_LEBANON,0.0
556,COUNTY_LEE,0.0
557,COUNTY_LEHIGH,0.0
558,COUNTY_LESLIE,0.0
559,COUNTY_LETCHER,0.0
560,COUNTY_LEWIS,0.0
561,COUNTY_LEXINGTON CITY,0.0
562,COUNTY_LICKING,0.0
563,COUNTY_LINCOLN,0.0
564,COUNTY_LIVINGSTON,0.0
565,COUNTY_LOGAN,0.0
566,COUNTY_LORAIN,0.0
567,COUNTY_LOUDOUN,0.0
568,COUNTY_LOUISA,0.0
569,COUNTY_LUCAS,0.0
570,COUNTY_LUNENBURG,0.0
571,COUNTY_LUZERNE,0.0
572,COUNTY_LYCOMING,0.0
573,COUNTY_LYNCHBURG CITY,0.0
574,COUNTY_LYON,0.0
575,COUNTY_MADISON,0.0
576,COUNTY_MAGOFFIN,0.0
577,COUNTY_MAHONING,0.0
578,COUNTY_MANASSAS CITY,0.0
579,COUNTY_MARION,0.0
580,COUNTY_MARSHALL,0.0
581,COUNTY_MARTIN,0.0
582,COUNTY_MARTINSVILLE CITY,0.0
583,COUNTY_MASON,0.0
584,COUNTY_MATHEWS,0.0
585,COUNTY_MCCRACKEN,0.0
586,COUNTY_MCCREARY,0.0
587,COUNTY_MCDOWELL,0.0
588,COUNTY_MCKEAN,0.0
589,COUNTY_MCLEAN,0.0
590,COUNTY_MEADE,0.0
591,COUNTY_MECKLENBURG,0.0
592,COUNTY_MEDINA,0.0
593,COUNTY_MEIGS,0.0
594,COUNTY_MENIFEE,0.0
595,COUNTY_MERCER,0.0
596,COUNTY_METCALFE,0.0
597,COUNTY_MIAMI,0.0
598,COUNTY_MIDDLESEX,0.0
599,COUNTY_MIFFLIN,0.0
600,COUNTY_MINERAL,0.0
601,COUNTY_MINGO,0.0
602,COUNTY_MONONGALIA,0.0
603,COUNTY_MONROE,0.0
604,COUNTY_MONTGOMERY,0.0
605,COUNTY_MONTOUR,0.0
606,COUNTY_MORGAN,0.0
607,COUNTY_MORROW,0.0
608,COUNTY_MUHLENBERG,0.0
609,COUNTY_MUSKINGUM,0.0
610,COUNTY_NELSON,0.0
611,COUNTY_NEW KENT,0.0
612,COUNTY_NEWPORT NEWS CITY,0.0
613,COUNTY_NICHOLAS,0.0
614,COUNTY_NOBLE,0.0
615,COUNTY_NORFOLK CITY,0.0
616,COUNTY_NORTHAMPTON,0.0
617,COUNTY_NORTHUMBERLAND,0.0
618,COUNTY_NORTON CITY,0.0
619,COUNTY_NOTTOWAY,0.0
620,COUNTY_OHIO,0.0
621,COUNTY_OLDHAM,0.0
622,COUNTY_ORANGE,0.0
623,COUNTY_OTTAWA,0.0
624,COUNTY_OWEN,0.0
625,COUNTY_OWSLEY,0.0
626,COUNTY_PAGE,0.0
627,COUNTY_PATRICK,0.0
628,COUNTY_PAULDING,0.0
629,COUNTY_PENDLETON,0.0
630,COUNTY_PERRY,0.0
631,COUNTY_PETERSBURG CITY,0.0
632,COUNTY_PHILADELPHIA,0.0
633,COUNTY_PICKAWAY,0.0
634,COUNTY_PIKE,0.0
635,COUNTY_PITTSYLVANIA,0.0
636,COUNTY_PLEASANTS,0.0
637,COUNTY_POCAHONTAS,0.0
638,COUNTY_POQUOSON CITY,0.0
639,COUNTY_PORTAGE,0.0
640,COUNTY_PORTSMOUTH CITY,0.0
641,COUNTY_POTTER,0.0
642,COUNTY_POWELL,0.0
643,COUNTY_POWHATAN,0.0
644,COUNTY_PREBLE,0.0
645,COUNTY_PRESTON,0.0
646,COUNTY_PRINCE EDWARD,0.0
647,COUNTY_PRINCE GEORGE,0.0
648,COUNTY_PRINCE WILLIAM,0.0
649,COUNTY_PULASKI,0.0
650,COUNTY_PUTNAM,0.0
651,COUNTY_RADFORD,0.0
652,COUNTY_RALEIGH,0.0
653,COUNTY_RANDOLPH,0.0
654,COUNTY_RAPPAHANNOCK,0.0
655,COUNTY_RICHLAND,0.0
656,COUNTY_RICHMOND,0.0
657,COUNTY_RITCHIE,0.0
658,COUNTY_ROANE,0.0
659,COUNTY_ROANOKE,0.0
660,COUNTY_ROBERTSON,0.0
661,COUNTY_ROCKBRIDGE,0.0
662,COUNTY_ROCKCASTLE,0.0
663,COUNTY_ROCKINGHAM,0.0
664,COUNTY_ROSS,0.0
665,COUNTY_ROWAN,0.0
666,COUNTY_RUSSELL,0.0
667,COUNTY_SALEM,0.0
668,COUNTY_SANDUSKY,0.0
669,COUNTY_SCHUYLKILL,0.0
670,COUNTY_SCIOTO,0.0
671,COUNTY_SCOTT,0.0
672,COUNTY_SENECA,0.0
673,COUNTY_SHELBY,0.0
674,COUNTY_SHENANDOAH,0.0
675,COUNTY_SIMPSON,0.0
676,COUNTY_SMYTH,0.0
677,COUNTY_SNYDER,0.0
678,COUNTY_SOMERSET,0.0
679,COUNTY_SOUTHAMPTON,0.0
680,COUNTY_SPENCER,0.0
681,COUNTY_SPOTSYLVANIA,0.0
682,COUNTY_STAFFORD,0.0
683,COUNTY_STARK,0.0
684,COUNTY_STAUNTON CITY,0.0
685,COUNTY_SUFFOLK CITY,0.0
686,COUNTY_SULLIVAN,0.0
687,COUNTY_SUMMERS,0.0
688,COUNTY_SUMMIT,0.0
