feature,importance
COUNTY_FLOYD,0.0
COUNTY_FLUVANNA,0.0
COUNTY_FOREST,0.0
COUNTY_FRANKLIN,5.1886800007991904e-08
COUNTY_FREDERICK,0.0
COUNTY_FULTON,0.0
COUNTY_GALLATIN,4.813507070198768e-10
COUNTY_GALLIA,0.0
COUNTY_GARRARD,3.0412287457355157e-09
COUNTY_GEAUGA,0.0
COUNTY_GILES,5.003869304344186e-07
COUNTY_GILMER,0.0
COUNTY_GLOUCESTER,0.0
COUNTY_GOOCHLAND,0.0
COUNTY_GRANT,0.0
COUNTY_GRAVES,2.4477104383275235e-07
COUNTY_GRAYSON,0.0
COUNTY_GREEN,0.0
COUNTY_GREENBRIER,0.0
COUNTY_GREENE,0.0
COUNTY_GREENSVILLE,0.0
COUNTY_GREENUP,0.0
COUNTY_GUERNSEY,0.0
COUNTY_HALIFAX,0.0
COUNTY_HAMILTON,0.0
COUNTY_HAMPSHIRE,0.0
COUNTY_HAMPTON CITY,0.0
COUNTY_HANCOCK,0.0
COUNTY_HANOVER,0.0
COUNTY_HARDIN,0.0
COUNTY_HARDY,0.0
COUNTY_HARLAN,0.0
COUNTY_HARRISON,0.0
COUNTY_HARRISONBURG CITY,0.0
COUNTY_HART,0.0
COUNTY_HENDERSON,0.0
COUNTY_HENRICO,0.0
COUNTY_HENRY,0.0
COUNTY_HICKMAN,0.0
COUNTY_HIGHLAND,0.0
COUNTY_HOCKING,0.0
COUNTY_HOLMES,0.0
COUNTY_HOPEWELL CITY,0.0
COUNTY_HOPKINS,0.0
COUNTY_HUNTINGDON,0.0
COUNTY_HURON,0.0
COUNTY_INDIANA,0.0
COUNTY_ISLE OF WIGHT,0.0
COUNTY_JACKSON,0.0
COUNTY_JAMES CITY,0.0
COUNTY_JEFFERSON,3.4095436457380864e-09
COUNTY_JESSAMINE,0.0
COUNTY_JOHNSON,0.0
COUNTY_JUNIATA,0.0
COUNTY_KANAWHA,0.0
COUNTY_KENTON,0.0
COUNTY_KING GEORGE,0.0
COUNTY_KING WILLIAM,5.956392858059077e-10
COUNTY_KNOTT,0.0
COUNTY_KNOX,0.0
COUNTY_LACKAWANNA,0.0
COUNTY_LAKE,0.0
COUNTY_LANCASTER,0.0
COUNTY_LARUE,0.0
COUNTY_LAUREL,0.0
COUNTY_LAWRENCE,4.832119679334021e-11
COUNTY_LEBANON,0.0
COUNTY_LEE,0.0
COUNTY_LEHIGH,0.0
COUNTY_LESLIE,0.0
COUNTY_LETCHER,5.4678885685721e-08
